"text","Lable"
"هاد المنتج يبدو مش بطالة، بس محتاج شوية تطوير.","1"
"الجهاز هاد ماشي، مو ممتاز بس مش سيء.","1"
"في منتجات أحسن من هاد، بس بتقدر تعمل فيه شغل.","1"
"هاد المنتج لسه فيه بعض العيوب، بس مقبول لسعره.","1"
"شايف إنو المنتج عادي، مش ملفت بس ما بيتعبك كتير.","1"
"مش زينة بزيادة، بس هيك مقبولة على مستوى السعر.","1"
"المنتج فيه بعض المميزات، بس فيه كمان شوية عيوب.","1"
"لسه ما جربته بس شكله مقبول، ما عندي شي معيب عليه.","1"
"الفيلم هاد ما بيمل، بس ما بيحمل كمان شوية تشويق.","1"
"في أفلام أحلى من هاد، بس بتضل قصة الفيلم حلوة.","1"
"هاد المنتج للي بدو يستخدمه بس ما فيه شيء مميز جداً.","1"
"المنتج مش سيء، بس مش مثالي كمان.","1"
"الجودة مو بزيادة، بس السعر مقبول على الإجمال.","1"
"بالنسبة للسعر، المنتج كويس.","1"
"هاد المنتج بيعمل شغله بسيطة، مش محتاج لهاك.","1"
"الجهاز مش بطالة بس فيه أحسن منو.","1"
"المنتج مش سيء بس ما بيختلف كتير عن منتجات تانية.","1"
"لو مش متأكد من المنتج، بس بيبدو مقبول.","1"
"بتعرف، المنتج بيعمل المطلوب منو، بس ما فيه شيء خاص.","1"
"الفيلم مش رديء بس مو أفضل من هيك.","1"
